book_id,book_name,book_code,chapter_count
1,genesis,gen,50
2,exodus,exo,40
3,leviticus,lev,27
4,numbers,num,36
5,deuteronomy,deu,34
6,joshua,jos,24
7,judges,jdg,21
8,ruth,rut,4
9,1 samuel,1sa,31
10,2 samuel,2sa,24
11,1 kings,1ki,22
12,2 kings,2ki,25
13,1 chronicles,1ch,29
14,2 chronicles,2ch,36
15,ezra,ezr,10
16,nehemiah,neh,13
17,esther,est,10
18,job,job,42
19,psalms,psa,150
20,proverbs,pro,31
21,ecclesiastes,ecc,12
22,song of solomon,sng,8
23,isaiah,isa,66
24,jeremiah,jer,52
25,lamentations,lam,5
26,ezekiel,ezk,48
27,daniel,dan,12
28,hosea,hos,14
29,joel,jol,3
30,amos,amo,9
31,obadiah,oba,1
32,jonah,jon,4
33,micah,mic,7
34,nahum,nam,3
35,habakkuk,hab,3
36,zephaniah,zep,3
37,haggai,hag,2
38,zechariah,zec,14
39,malachi,mal,4
41,matthew,mat,28
42,mark,mrk,16
43,luke,luk,24
44,john,jhn,21
45,acts,act,28
46,romans,rom,16
47,1 corinthians,1co,16
48,2 corinthians,2co,13
49,galatians,gal,6
50,ephesians,eph,6
51,philippians,php,4
52,colossians,col,4
53,1 thessalonians,1th,5
54,2 thessalonians,2th,3
55,1 timothy,1ti,6
56,2 timothy,2ti,4
57,titus,tit,3
58,philemon,phm,1
59,hebrews,heb,13
60,james,jas,5
61,1 peter,1pe,5
62,2 peter,2pe,3
63,1 john,1jn,5
64,2 john,2jn,1
65,3 john,3jn,1
66,jude,jud,1
67,revelation,rev,22